prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(kg/m2/s),evap_surface(kg/m2/s),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2),Soil_Moisture_Sum,Soil_Saturation,soil_awsc_max,Actual_Soil_Saturation,date,Baseflow
0,29.96,17.88,23.92,348.35,268.45,0.72,1.41,1.58,65.28,,2.54,1.95,0,0.79,3.31,54.25,157.78,485.12,700.46,698.51,150,4.656733333,01-01-1980,173
0,29.25,18.08,23.66,355.04,267.62,0.74,0.96,1.21,66.78,,2.37,1.84,0,0.73,3.22,54.06,157.36,484.78,699.42,697.58,150,4.650533333,02-01-1980,159.6
0,29,17.85,23.42,360.21,265.33,0.57,0.94,1.1,67.56,,2.39,1.78,0.03,0.74,3.15,53.88,156.95,484.44,698.42,696.64,150,4.644266667,03-01-1980,152.98
0,29.12,18.2,23.66,364.37,259.93,-0.67,0.8,1.04,68.55,,2.16,1.6,0.12,0.76,3.25,53.69,156.55,484.08,697.57,695.97,150,4.6398,04-01-1980,147.2206667
0.07,28.31,18.47,23.39,362.43,264.25,-0.75,0.91,1.18,69.1,,2.27,1.63,0.03,0.8,3.3,53.52,156.15,483.73,696.7,695.14,150,4.634266667,05-01-1980,131.1
0,28.54,18.57,23.56,367.32,244.42,-0.23,-0.57,0.61,71.98,,2.32,1.76,0.21,0.78,3.5,53.34,155.76,483.4,696,694.24,150,4.628266667,06-01-1980,134.31
0.39,28.1,18.5,23.3,354.88,255.31,-0.17,-0.69,0.71,63.55,,2.24,1.65,0.16,0.83,3.6,53.17,155.36,483.08,695.21,693.95,150,4.626333333,07-01-1980,107.7
0,28.47,17.27,22.87,321.37,277.76,0.21,-1.03,1.05,53.2,,2.4,1.68,0,0.87,3.52,52.98,154.93,482.7,694.13,692.45,150,4.616333333,08-01-1980,119.21
0,28.45,15.86,22.16,312.7,281.24,-0.18,-1.03,1.05,52,,2.49,1.73,0,0.86,3.4,52.8,154.51,482.33,693.04,691.31,150,4.608733333,09-01-1980,123.833
0,28.44,15.36,21.9,318.1,280.32,-0.22,-0.64,0.68,55.24,,2.54,1.74,0,0.85,3.29,52.62,154.08,481.96,691.95,690.21,150,4.6014,10-01-1980,131.5275667
0,28.85,15.93,22.39,329.94,277.11,0.11,0.11,0.16,60.82,,2.59,1.75,0,0.79,3.18,52.45,153.68,481.62,690.93,689.18,150,4.594533333,11-01-1980,127.8007922
0,29.16,16.93,23.04,339.8,278.4,-0.07,1.07,1.07,63.59,,2.61,1.85,0,0.76,3.08,52.29,153.3,481.27,689.94,688.09,150,4.587266667,12-01-1980,112.9
0,29.03,17.11,23.07,342.6,276.79,0,0.17,0.17,61.85,,2.66,1.76,0,0.74,2.99,52.13,152.93,480.92,688.97,687.21,150,4.5814,13-01-1980,62.72
0,29.35,16.38,22.86,347.17,277.41,-0.29,0.2,0.35,59.29,,2.56,1.66,0,0.73,2.9,51.97,152.55,480.56,687.98,686.32,150,4.575466667,14-01-1980,68.32266667
0,29.58,17.07,23.32,351.11,276.12,0.03,0.95,0.95,59.7,,2.66,1.71,0,0.74,2.82,51.82,152.17,480.21,687.02,685.31,150,4.568733333,15-01-1980,67.38768889
0,29.48,17.47,23.48,353.28,273.22,-0.1,0.36,0.37,62.33,,2.54,1.6,0,0.72,2.76,51.67,151.8,479.87,686.1,684.5,150,4.563333333,16-01-1980,62
0,29.52,17.5,23.51,358.74,275.63,0.13,0.46,0.48,58.09,,2.54,1.58,0,0.71,2.69,51.53,151.44,479.53,685.19,683.61,150,4.5574,17-01-1980,77.1
0,29.93,17.56,23.74,358.43,276.48,-0.14,-0.04,0.15,57.81,,2.65,1.73,0,0.7,2.62,51.38,151.08,479.17,684.25,682.52,150,4.550133333,18-01-1980,87.29666667
