prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(kg/m2/s),evap_surface(kg/m2/s),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2),Soil_Moisture_Sum,Soil_Saturation,soil_awsc_max,Actual_Soil_Saturation,date,3082
0,29.05,14.53,21.79,352.39,253.81,0.9,0.4,0.98,47.38,,2.42,1.45,0,0.59,5.72,65.57,181.33,495.33,747.95,746.5,125,5.972,01-01-1980,0
0,29.14,15.78,22.46,360.22,250.19,-0.25,0.88,0.91,64.7,,2.4,1.33,0,0.61,5.48,65.44,181.07,495.23,747.22,745.89,125,5.96712,02-01-1980,0
0.92,28.13,15.23,21.68,390.57,201.15,-0.69,-0.13,0.7,67.51,,2.01,1.13,0.16,0.52,5.36,65.31,180.8,495.11,746.58,746.37,125,5.97096,03-01-1980,0
2.73,27.78,14.76,21.27,381.42,175.65,-2.15,-0.66,2.25,83.61,,1.53,1.39,0.99,0.33,6.6,65.23,180.62,495.08,747.53,748.87,125,5.99096,04-01-1980,0
3.02,23.86,15.41,19.63,382.83,141.13,-0.69,-2.15,2.26,74.06,,1.01,1.01,0.92,0.16,7.46,65.17,180.49,495.07,748.19,750.2,125,6.0016,05-01-1980,0
2.45,22.32,14.65,18.48,377.63,63.13,-1.55,-1.81,2.38,80.37,,1.75,1.63,0.8,0.11,8.32,65.13,180.44,495.05,748.94,749.76,125,5.99808,06-01-1980,0
0.04,22.46,12.45,17.45,342.7,254.3,-1.23,-1.15,1.68,58.35,,2.03,1.75,0,0.68,8.01,65.01,180.19,494.9,748.11,746.4,125,5.9712,07-01-1980,0
0,26.17,12.46,19.32,327.37,264.26,-0.5,-1.11,1.22,56.39,,2.31,1.8,0,0.76,7.61,64.88,179.9,494.8,747.19,745.39,125,5.96312,08-01-1980,0
0,27.77,12.96,20.37,342.32,261.65,-0.66,0.08,0.66,56.1,,2.36,1.58,0,0.72,7.23,64.77,179.64,494.71,746.35,744.77,125,5.95816,09-01-1980,0
0,28.08,14.59,21.34,352.1,260.81,-0.56,-0.23,0.61,52.94,,2.35,1.46,0,0.69,6.9,64.65,179.41,494.63,745.59,744.13,125,5.95304,10-01-1980,0
0,28.55,15.33,21.94,373.16,248.91,-1.01,2.03,2.27,50.07,,2.48,1.49,0,0.7,6.59,64.54,179.16,494.49,744.78,743.29,125,5.94632,11-01-1980,0
0,29.34,16.72,23.03,373.3,257.85,-0.48,1.57,1.64,58.03,,2.42,1.39,0.02,0.66,6.29,64.43,178.93,494.43,744.08,742.69,125,5.94152,12-01-1980,0
0,29.37,16.71,23.04,376.79,243.92,-0.57,2.25,2.32,50.67,,2.39,1.33,0.03,0.62,6.04,64.32,178.68,494.33,743.37,742.04,125,5.93632,13-01-1980,0
0,29.22,16.69,22.96,362.86,260.59,-0.69,1.49,1.64,53.87,,2.13,1.14,0,0.59,5.76,64.21,178.47,494.22,742.66,741.52,125,5.93216,14-01-1980,0
0,29.8,16.73,23.26,365.36,223.03,-1.13,1.5,1.88,56.32,,2.54,1.32,0,0.54,5.56,64.11,178.21,494.13,742.01,740.69,125,5.92552,15-01-1980,0
0,29.53,15.73,22.63,360.34,262.51,-1.21,1.5,1.93,57.04,,2.56,1.29,0,0.55,5.35,64.01,177.99,494.04,741.39,740.1,125,5.9208,16-01-1980,0
0,29.78,15.71,22.74,369.65,265.08,-1.11,1.51,1.87,51.8,,2.51,1.22,0,0.54,5.13,63.91,177.78,493.94,740.76,739.54,125,5.91632,17-01-1980,0
0,30.31,16.09,23.2,379.48,247.5,-1.7,1.11,2.03,45.41,,2.57,1.29,0.01,0.55,4.92,63.82,177.54,493.83,740.11,738.82,125,5.91056,18-01-1980,0
0,30.45,15.67,23.06,360.68,267.08,-1.01,1.03,1.44,59.68,,2.6,1.18,0,0.48,4.71,63.72,177.34,493.73,739.5,738.32,125,5.90656,19-01-1980,0
0,30.69,16.47,23.58,365.11,268.43,-0.33,1.16,1.21,55.16,,2.58,1.13,0,0.46,4.51,63.64,177.14,493.64,738.93,737.8,125,5.9024,20-01-1980,0
0,31.14,16.34,23.74,374.51,262.03,-1.04,0.65,1.23,46.24,,2.6,1.1,0.01,0.47,4.33,63.55,176.94,493.54,738.36,737.26,125,5.89808,21-01-1980,0
0,31.37,16.52,23.94,374.74,271.13,1.61,-0.33,1.64,44.54,,2.31,0.94,0.02,0.45,4.14,63.47,176.75,493.47,737.83,736.89,125,5.89512,22-01-1980,0
0,31.24,16.12,23.68,343.23,274.51,-0.21,-2.79,2.8,36.29,,2.54,1.01,0,0.52,3.98,63.38,176.54,493.38,737.28,736.27,125,5.89016,23-01-1980,0
0,29.32,13.32,21.32,330.94,279.06,-1.12,-0.35,1.17,51.07,,2.5,0.96,0,0.47,3.83,63.29,176.31,493.26,736.69,735.73,125,5.88584,24-01-1980,0
0,29.43,13.65,21.54,340.87,279.85,-1.45,0.08,1.45,41.83,,2.57,0.95,0,0.46,3.68,63.21,176.1,493.18,736.17,735.22,125,5.88176,25-01-1980,0
0,30.5,14.58,22.54,364.2,276.98,-0.27,0.72,0.77,46.93,,2.65,0.95,0,0.41,3.54,63.13,175.9,493.09,735.66,734.71,125,5.87768,26-01-1980,0
0,31.45,15.84,23.64,357.43,277.44,1.31,-0.18,1.32,33.03,,2.57,0.89,0,0.47,3.42,63.05,175.71,492.96,735.14,734.25,125,5.874,27-01-1980,0
0,31.32,15.49,23.4,340.1,283.16,1.68,-2.18,2.75,27.3,,2.62,0.88,0,0.48,3.29,62.97,175.52,492.85,734.63,733.75,125,5.87,28-01-1980,0
0,30.39,14.77,22.58,326.01,287.03,-0.11,-2.5,2.5,28.81,,2.56,0.83,0,0.48,3.19,62.88,175.29,492.78,734.14,733.31,125,5.86648,29-01-1980,0
0,28.75,12.96,20.86,309.58,293.11,-0.8,-1.51,1.71,30.86,,2.49,0.78,0,0.47,3.09,62.79,175.09,492.69,733.66,732.88,125,5.86304,30-01-1980,0
0,28.3,12.47,20.39,324.69,291.69,-1.47,-0.46,1.54,33.32,,2.58,0.78,0,0.44,3,62.71,174.87,492.58,733.16,732.38,125,5.85904,31-01-1980,0
