prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(kg/m2/s),evap_surface(kg/m2/s),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2),Soil_Moisture_Sum,Soil_Saturation,soil_awsc_max,Actual_Soil_Saturation,date,AWC,Actual_Soil_Saturation_New,station_id,soil_awc_avg
0.0,28.0,13.21,20.6,340.89,250.87,1.58,1.51,2.19,48.39,,2.34,1.54,0.0,0.4,5.21,70.74,178.54,531.81,786.3,784.76,150,5.231733333,01-01-1980,0.196154148,4000.731108680738,3005,0.1961541475
0.07,28.06,14.49,21.28,357.4,238.01,0.85,0.34,0.92,55.88,,2.11,1.27,0.01,0.38,5.07,70.64,178.39,531.75,785.85,784.65,150,5.231,02-01-1980,0.196154148,4000.17032522853,3005,0.1961541475
0.45,27.19,13.63,20.41,362.47,202.55,-0.35,-1.36,1.4,57.16,,1.71,1.01,0.3,0.35,5.0,70.54,178.24,531.7,785.48,784.92,150,5.2328,03-01-1980,0.196154148,4001.5467937021317,3005,0.1961541475
0.72,26.27,13.38,19.82,366.46,173.07,-2.01,-0.6,2.1,80.77,,1.74,1.4,0.43,0.22,5.41,70.46,178.13,531.66,785.66,784.98,150,5.2332,04-01-1980,0.196154148,4001.8526755851544,3005,0.1961541475
3.11,23.99,14.17,19.08,377.85,119.04,-1.01,-1.73,2.0,84.53,,1.11,1.07,0.94,0.12,7.36,70.41,178.06,531.63,787.46,789.5,150,5.263333333,05-01-1980,0.196154148,4024.8957774395267,3005,0.1961541475
5.68,20.86,13.23,17.05,356.58,141.18,-0.91,-1.21,1.51,75.13,,1.79,1.58,0.77,0.21,8.76,70.36,178.0,531.62,788.74,792.84,150,5.2856,06-01-1980,0.196154148,4041.92320226112,3005,0.1961541475
0.04,22.46,10.73,16.6,319.79,255.61,-0.66,-1.25,1.41,55.52,,2.1,1.7,0.0,0.55,8.42,70.26,177.85,531.57,788.1,786.44,150,5.242933333,07-01-1980,0.196154148,4009.2958014053725,3005,0.1961541475
0.0,25.47,10.42,17.94,319.63,261.69,0.11,-1.62,1.62,55.47,,2.25,1.63,0.0,0.58,8.06,70.16,177.69,531.5,787.41,785.78,150,5.238533333,08-01-1980,0.196154148,4005.931100692123,3005,0.1961541475
0.0,26.69,11.22,18.96,336.23,259.2,-0.16,-0.91,0.92,53.84,,2.26,1.48,0.0,0.57,7.71,70.07,177.55,531.45,786.78,785.3,150,5.235333333,09-01-1980,0.196154148,4003.4840456279417,3005,0.1961541475
0.0,27.12,12.86,19.99,351.0,254.04,0.18,-0.02,0.18,53.78,,2.22,1.38,0.01,0.54,7.39,69.98,177.41,531.39,786.17,784.79,150,5.231933333,10-01-1980,0.196154148,4000.884049622249,3005,0.1961541475
0.0,27.63,13.7,20.66,362.16,239.67,0.1,1.83,1.83,55.95,,2.33,1.41,0.01,0.51,7.12,69.89,177.26,531.34,785.61,784.2,150,5.228,11-01-1980,0.196154148,3997.8762111058604,3005,0.1961541475
0.2,28.44,15.43,21.94,367.71,246.39,0.86,1.73,1.93,65.91,,2.33,1.37,0.09,0.47,6.96,69.79,177.12,531.28,785.15,783.98,150,5.226533333,12-01-1980,0.196154148,3996.754644201444,3005,0.1961541475
0.73,28.48,15.23,21.86,363.65,240.42,0.17,1.06,1.07,66.17,,2.15,1.23,0.44,0.41,7.04,69.71,176.98,531.22,784.95,784.45,150,5.229666667,13-01-1980,0.196154148,3999.1507189517883,3005,0.1961541475
0.03,28.16,15.34,21.75,359.62,248.31,-0.16,0.59,0.61,60.63,,2.13,1.19,0.02,0.45,6.82,69.63,176.85,531.16,784.46,783.3,150,5.222,14-01-1980,0.196154148,3993.2879828605205,3005,0.1961541475
0.02,28.61,15.35,21.98,357.33,242.95,-0.38,1.72,1.76,62.67,,2.36,1.28,0.03,0.44,6.62,69.55,176.71,531.11,783.99,782.73,150,5.2182,15-01-1980,0.196154148,3990.382104971806,3005,0.1961541475
0.0,28.61,14.8,21.7,353.89,251.71,-0.21,1.79,1.8,60.77,,2.41,1.27,0.01,0.43,6.4,69.47,176.58,531.06,783.51,782.24,150,5.214933333,16-01-1980,0.196154148,3987.8840695937874,3005,0.1961541475
0.0,29.06,14.59,21.82,357.63,261.19,-0.1,1.5,1.5,59.69,,2.4,1.23,0.0,0.42,6.18,69.39,176.45,531.0,783.02,781.79,150,5.211933333,17-01-1980,0.196154148,3985.5899554711177,3005,0.1961541475
0.0,29.63,14.97,22.3,363.9,254.31,-0.73,1.49,1.66,54.7,,2.44,1.24,0.01,0.43,5.96,69.31,176.32,530.95,782.54,781.3,150,5.208666667,18-01-1980,0.196154148,3983.0919200930994,3005,0.1961541475
0.0,29.93,15.02,22.48,359.59,263.71,0.04,0.72,0.72,58.26,,2.4,1.16,0.01,0.41,5.74,69.24,176.2,530.9,782.08,780.92,150,5.206133333,19-01-1980,0.196154148,3981.1546681672894,3005,0.1961541475
0.03,29.91,15.45,22.68,362.05,262.89,0.56,0.69,0.89,55.82,,2.47,1.16,0.02,0.4,5.55,69.17,176.08,530.84,781.64,780.51,150,5.2034,20-01-1980,0.196154148,3979.064475299968,3005,0.1961541475
0.0,30.2,15.39,22.8,363.08,255.01,0.59,0.44,0.74,49.72,,2.42,1.11,0.02,0.4,5.35,69.1,175.96,530.78,781.19,780.08,150,5.200533333,21-01-1980,0.196154148,3976.8723218049727,3005,0.1961541475
0.0,30.48,15.49,22.98,360.69,252.86,1.86,-0.61,1.96,39.9,,2.25,1.0,0.01,0.41,5.15,69.04,175.84,530.72,780.75,779.75,150,5.198333333,22-01-1980,0.196154148,3975.189971448348,3005,0.1961541475
0.0,29.99,14.76,22.38,326.62,272.82,0.45,-2.66,2.7,34.92,,2.42,1.05,0.0,0.4,4.96,68.96,175.71,530.67,780.3,779.25,150,5.195,23-01-1980,0.196154148,3972.6409557564925,3005,0.1961541475
0.0,28.31,11.17,19.74,313.85,279.4,-0.02,-0.55,0.55,41.91,,2.41,1.03,0.0,0.39,4.77,68.89,175.58,530.61,779.85,778.82,150,5.192133333,24-01-1980,0.196154148,3970.4488022614973,3005,0.1961541475
0.0,28.69,11.48,20.08,326.57,278.11,0.01,0.33,0.33,45.05,,2.51,1.04,0.0,0.36,4.59,68.82,175.45,530.55,779.41,778.37,150,5.189133333,25-01-1980,0.196154148,3968.1546881388276,3005,0.1961541475
0.0,29.61,13.06,21.34,342.59,276.44,0.75,0.47,0.89,44.2,,2.62,1.05,0.0,0.36,4.42,68.76,175.34,530.5,779.02,777.97,150,5.186466667,26-01-1980,0.196154148,3966.115475585343,3005,0.1961541475
0.0,30.56,14.34,22.45,342.36,275.3,2.35,-0.32,2.37,33.13,,2.53,0.98,0.0,0.37,4.27,68.7,175.22,530.44,778.63,777.65,150,5.184333333,27-01-1980,0.196154148,3964.484105542556,3005,0.1961541475
0.0,30.27,14.18,22.22,329.4,278.94,2.63,-1.46,3.01,32.19,,2.55,0.96,0.0,0.36,4.12,68.63,175.11,530.39,778.25,777.29,150,5.181933333,28-01-1980,0.196154148,3962.6488142444196,3005,0.1961541475
0.0,29.57,13.83,21.7,310.16,285.52,0.99,-2.48,2.67,32.84,,2.49,0.91,0.0,0.36,3.99,68.56,174.98,530.33,777.86,776.95,150,5.179666667,29-01-1980,0.196154148,3960.9154835739587,3005,0.1961541475
0.0,27.63,11.11,19.37,294.73,292.11,0.24,-1.4,1.42,35.01,,2.42,0.88,0.0,0.34,3.87,68.49,174.85,530.27,777.48,776.6,150,5.177333333,30-01-1980,0.196154148,3959.13117258966,3005,0.1961541475
0.0,27.43,10.34,18.88,307.2,290.63,-0.18,-0.28,0.33,35.77,,2.51,0.87,0.0,0.33,3.75,68.43,174.73,530.21,777.12,776.25,150,5.175,31-01-1980,0.196154148,3957.346861605361,3005,0.1961541475
0.0,28.32,12.13,20.23,347.87,272.92,-0.47,2.17,2.22,48.01,,2.5,0.89,0.03,0.33,3.65,68.36,174.61,530.15,776.77,775.88,150,5.172533333,01-02-1980,0.196154148,3955.460589993388,3005,0.1961541475
0.44,29.81,15.21,22.51,369.69,265.96,1.63,2.47,2.96,44.23,,2.46,0.83,0.16,0.32,3.76,68.3,174.49,530.09,776.64,776.25,150,5.175,02-02-1980,0.196154148,3957.346861605361,3005,0.1961541475
0.02,29.64,16.91,23.28,367.9,267.83,1.18,1.7,2.07,43.17,,2.38,0.78,0.06,0.33,3.7,68.24,174.37,530.04,776.35,775.59,150,5.1706,03-02-1980,0.196154148,3953.982160892112,3005,0.1961541475
0.13,29.56,16.98,23.27,358.24,263.02,1.2,0.28,1.23,43.67,,2.39,0.76,0.01,0.32,3.6,68.18,174.26,529.99,776.03,775.4,150,5.169333333,04-02-1980,0.196154148,3953.013534929207,3005,0.1961541475
0.1,29.72,15.56,22.64,340.78,287.29,1.84,-1.06,2.12,31.83,,2.38,0.73,0.01,0.31,3.5,68.12,174.15,529.93,775.7,775.07,150,5.167133333,05-02-1980,0.196154148,3951.3311845725825,3005,0.1961541475
0.0,29.16,13.96,21.56,300.39,299.93,0.31,-2.68,2.7,18.78,,2.58,0.78,0.0,0.33,3.4,68.06,174.03,529.86,775.35,774.57,150,5.1638,06-02-1980,0.196154148,3948.7821688807276,3005,0.1961541475
0.0,27.93,10.97,19.45,293.15,303.3,-0.37,-2.15,2.18,21.78,,2.58,0.76,0.0,0.31,3.3,68.0,173.91,529.8,775.01,774.25,150,5.161666667,07-02-1980,0.196154148,3947.15079883794,3005,0.1961541475
0.31,27.68,10.87,19.27,306.55,300.69,-0.61,-0.63,0.88,25.59,,2.62,0.75,0.0,0.3,3.21,67.94,173.79,529.75,774.69,774.25,150,5.161666667,08-02-1980,0.196154148,3947.15079883794,3005,0.1961541475
0.0,28.67,12.86,20.76,329.51,294.95,0.05,-0.04,0.06,39.65,,2.67,0.79,0.03,0.28,3.14,67.89,173.69,529.69,774.41,773.62,150,5.157466667,09-02-1980,0.196154148,3943.939039066202,3005,0.1961541475
0.0,29.17,13.62,21.4,333.4,281.86,-0.42,-1.47,1.53,34.22,,2.43,0.69,0.07,0.29,3.13,67.84,173.58,529.63,774.18,773.49,150,5.1566,10-02-1980,0.196154148,3943.2762949863195,3005,0.1961541475
0.0,29.11,12.91,21.01,323.99,299.47,-0.38,-0.8,0.89,35.13,,2.71,0.73,0.08,0.28,3.07,67.79,173.48,529.58,773.92,773.19,150,5.1546,11-02-1980,0.196154148,3941.746885571207,3005,0.1961541475
0.0,30.43,13.68,22.06,326.6,303.16,-0.07,-0.9,0.9,30.8,,2.77,0.72,0.0,0.29,2.99,67.74,173.38,529.53,773.64,772.92,150,5.1528,12-02-1980,0.196154148,3940.3704170976043,3005,0.1961541475
0.0,30.59,13.63,22.11,328.26,304.86,0.08,-0.73,0.73,35.63,,2.8,0.72,0.0,0.26,2.92,67.7,173.28,529.47,773.37,772.65,150,5.151,13-02-1980,0.196154148,3938.9939486240028,3005,0.1961541475
0.8,31.14,13.83,22.48,352.57,303.01,0.49,1.09,1.2,37.39,,2.97,1.4,0.07,0.26,2.9,67.66,173.19,529.42,773.17,772.57,150,5.150466667,14-02-1980,0.196154148,3938.586106113306,3005,0.1961541475
2.57,32.58,16.79,24.68,373.94,294.29,1.03,1.16,1.55,50.49,,2.58,1.01,0.32,0.3,3.77,67.61,173.09,529.37,773.84,775.4,150,5.169333333,15-02-1980,0.196154148,3953.013534929207,3005,0.1961541475
0.08,30.52,16.85,23.68,344.49,303.07,1.85,-0.92,2.07,27.51,,2.9,0.89,0.03,0.33,3.65,67.57,173.0,529.31,773.53,772.72,150,5.151466667,16-02-1980,0.196154148,3939.3508108208625,3005,0.1961541475
0.0,31.14,14.29,22.72,320.34,312.94,1.07,-1.71,2.02,32.45,,2.89,0.76,0.0,0.31,3.52,67.53,172.91,529.27,773.23,772.47,150,5.1498,17-02-1980,0.196154148,3938.076302974935,3005,0.1961541475
0.0,30.54,14.15,22.34,327.83,312.88,-0.16,-0.51,0.53,32.59,,2.94,0.72,0.0,0.3,3.4,67.48,172.82,529.22,772.92,772.2,150,5.148,18-02-1980,0.196154148,3936.699834501333,3005,0.1961541475
0.0,31.48,15.67,23.58,341.29,312.03,0.37,0.25,0.45,30.41,,2.92,0.69,0.0,0.29,3.28,67.44,172.73,529.16,772.61,771.92,150,5.146133333,19-02-1980,0.196154148,3935.272385713894,3005,0.1961541475
0.0,32.36,16.78,24.57,349.35,311.55,-0.17,-0.77,0.79,34.81,,3.0,0.69,0.01,0.29,3.17,67.41,172.65,529.12,772.35,771.66,150,5.1444,20-02-1980,0.196154148,3933.946897554129,3005,0.1961541475
0.0,33.16,17.26,25.21,347.54,315.29,0.29,-0.99,1.03,30.82,,3.07,0.75,0.0,0.27,3.06,67.38,172.57,529.07,772.08,771.33,150,5.1422,21-02-1980,0.196154148,3932.2645471975047,3005,0.1961541475
0.0,34.27,17.59,25.93,349.0,316.29,1.28,-0.89,1.56,30.81,,3.11,0.68,0.0,0.27,2.97,67.34,172.49,529.02,771.82,771.14,150,5.140933333,22-02-1980,0.196154148,3931.2959212345995,3005,0.1961541475
0.0,34.37,17.33,25.85,350.47,316.95,1.73,-1.18,2.09,26.75,,3.13,0.66,0.0,0.27,2.89,67.31,172.43,528.98,771.61,770.95,150,5.139666667,23-02-1980,0.196154148,3930.3272952716948,3005,0.1961541475
0.0,34.65,16.8,25.72,344.03,319.0,1.46,-1.53,2.11,24.79,,3.13,0.64,0.0,0.27,2.82,67.28,172.35,528.94,771.39,770.75,150,5.138333333,24-02-1980,0.196154148,3929.3076889949525,3005,0.1961541475
0.0,34.5,17.12,25.81,332.9,325.03,0.86,-2.02,2.2,21.74,,3.04,0.6,0.0,0.27,2.76,67.25,172.27,528.89,771.17,770.57,150,5.137133333,25-02-1980,0.196154148,3928.390043345885,3005,0.1961541475
0.0,33.05,15.04,24.04,320.71,330.53,0.46,-1.95,2.0,24.89,,3.02,0.58,0.0,0.26,2.71,67.21,172.19,528.84,770.95,770.37,150,5.1358,26-02-1980,0.196154148,3927.3704370691426,3005,0.1961541475
0.0,33.23,14.86,24.04,331.18,329.44,0.21,0.28,0.35,24.85,,3.11,0.58,0.0,0.25,2.67,67.18,172.11,528.79,770.75,770.17,150,5.134466667,27-02-1980,0.196154148,3926.3508307924003,3005,0.1961541475
0.0,35.15,16.48,25.82,337.6,330.07,2.4,0.4,2.43,20.81,,3.25,0.59,0.0,0.25,2.64,67.15,172.05,528.75,770.59,770.0,150,5.133333333,28-02-1980,0.196154148,3925.4841654571696,3005,0.1961541475
0.02,35.67,18.63,27.15,360.64,318.2,1.76,0.35,1.79,26.51,,3.06,0.59,0.03,0.25,2.65,67.12,171.97,528.7,770.44,769.87,150,5.132466667,29-02-1980,0.196154148,3924.821421377287,3005,0.1961541475
0.28,34.69,18.4,26.54,349.37,320.28,2.45,-2.01,3.17,17.72,,3.15,0.54,0.05,0.26,2.68,67.08,171.88,528.66,770.3,770.04,150,5.1336,01-03-1980,0.196154148,3925.688086712518,3005,0.1961541475
0.0,32.96,16.03,24.5,316.22,339.89,1.3,-1.97,2.36,20.93,,3.14,0.52,0.0,0.26,2.65,67.04,171.8,528.6,770.09,769.57,150,5.130466667,02-03-1980,0.196154148,3923.2920119621745,3005,0.1961541475
0.16,32.4,15.84,24.12,339.8,334.59,2.01,-1.24,2.36,28.55,,3.23,0.52,0.0,0.24,2.62,67.01,171.73,528.57,769.93,769.57,150,5.130466667,03-03-1980,0.196154148,3923.2920119621745,3005,0.1961541475
0.24,34.96,17.85,26.4,351.8,333.04,2.35,-2.53,3.45,28.31,,3.32,0.52,0.0,0.24,2.61,66.98,171.67,528.53,769.79,769.51,150,5.130066667,04-03-1980,0.196154148,3922.9861300791513,3005,0.1961541475
0.0,34.69,18.82,26.76,353.23,333.74,1.81,-0.58,1.9,24.63,,3.3,0.5,0.0,0.22,2.59,66.96,171.61,528.49,769.65,769.15,150,5.127666667,05-03-1980,0.196154148,3921.1508387810154,3005,0.1961541475
0.0,36.34,18.99,27.66,364.61,323.18,2.15,0.05,2.15,20.33,,3.29,0.51,0.01,0.23,2.58,66.93,171.54,528.43,769.48,768.97,150,5.126466667,06-03-1980,0.196154148,3920.2331931319477,3005,0.1961541475
0.0,35.65,20.19,27.92,363.41,331.87,1.37,-0.31,1.4,20.68,,3.28,0.55,0.01,0.23,2.57,66.9,171.47,528.39,769.33,768.78,150,5.1252,07-03-1980,0.196154148,3919.2645671690425,3005,0.1961541475
0.0,34.65,20.94,27.8,359.04,283.21,3.15,-0.44,3.18,22.56,,2.27,0.41,0.41,0.26,2.63,66.87,171.39,528.35,769.24,768.83,150,5.125533333,08-03-1980,0.196154148,3919.5194687382286,3005,0.1961541475
0.0,33.03,16.34,24.68,317.94,343.02,1.79,-1.02,2.06,17.21,,3.05,0.47,0.0,0.27,2.59,66.83,171.3,528.3,769.02,768.55,150,5.123666667,09-03-1980,0.196154148,3918.092019950789,3005,0.1961541475
0.0,31.49,15.68,23.58,325.08,345.13,-0.58,-0.26,0.64,23.61,,3.25,0.46,0.0,0.26,2.58,66.79,171.22,528.24,768.83,768.37,150,5.122466667,10-03-1980,0.196154148,3917.1743743017214,3005,0.1961541475
0.36,32.39,16.25,24.32,371.52,315.88,-0.03,1.62,1.62,47.78,,3.12,0.76,0.8,0.25,3.07,66.75,171.12,528.19,769.13,768.73,150,5.124866667,11-03-1980,0.196154148,3919.0096655998573,3005,0.1961541475
1.03,34.09,17.11,25.6,373.88,313.85,-0.12,-0.13,0.18,42.53,,3.22,0.71,1.22,0.29,3.78,66.72,171.04,528.14,769.68,770.0,150,5.133333333,12-03-1980,0.196154148,3925.4841654571696,3005,0.1961541475
0.0,33.01,18.54,25.78,360.88,337.02,-0.58,-1.44,1.55,20.42,,3.38,0.57,0.07,0.34,3.64,66.69,170.97,528.09,769.39,768.82,150,5.125466667,13-03-1980,0.196154148,3919.468488424391,3005,0.1961541475
0.0,33.33,18.59,25.96,361.74,340.15,-0.6,-0.47,0.76,25.6,,3.45,0.64,0.05,0.32,3.48,66.66,170.9,528.04,769.08,768.44,150,5.122933333,14-03-1980,0.196154148,3917.531236498581,3005,0.1961541475
0.13,34.48,17.64,26.06,364.17,338.74,0.49,-0.32,0.59,26.13,,3.51,0.5,0.01,0.29,3.33,66.64,170.83,528.0,768.8,768.43,150,5.122866667,15-03-1980,0.196154148,3917.4802561847437,3005,0.1961541475
0.17,35.58,18.97,27.28,373.48,316.67,2.07,1.19,2.39,31.61,,3.15,0.72,0.13,0.28,3.37,66.61,170.76,527.95,768.69,768.14,150,5.120933333,16-03-1980,0.196154148,3916.001827083468,3005,0.1961541475
1.4,35.54,19.69,27.62,372.77,332.17,1.69,1.03,1.98,29.19,,3.42,0.56,0.16,0.28,3.31,66.58,170.7,527.9,768.49,769.33,150,5.128866667,17-03-1980,0.196154148,3922.0684844300836,3005,0.1961541475
0.11,35.56,20.65,28.1,376.49,322.17,0.96,1.77,2.01,32.71,,3.3,0.44,0.06,0.27,3.27,66.55,170.63,527.87,768.32,767.99,150,5.119933333,18-03-1980,0.196154148,3915.2371223759114,3005,0.1961541475
0.18,36.27,20.18,28.22,378.01,338.42,1.15,1.5,1.89,27.61,,3.28,0.41,0.16,0.27,3.24,66.53,170.57,527.83,768.17,767.94,150,5.1196,19-03-1980,0.196154148,3914.982220806726,3005,0.1961541475
0.0,36.35,20.18,28.26,376.12,345.73,1.45,0.21,1.47,26.08,,3.56,0.43,0.03,0.25,3.11,66.51,170.52,527.8,767.94,767.51,150,5.116733333,20-03-1980,0.196154148,3912.79006731173,3005,0.1961541475
0.0,37.46,20.97,29.22,375.93,345.21,0.72,-0.13,0.73,27.78,,3.62,0.42,0.02,0.23,2.98,66.49,170.47,527.76,767.7,767.28,150,5.1152,21-03-1980,0.196154148,3911.6175200934767,3005,0.1961541475
0.0,37.94,21.59,29.76,388.11,322.19,1.37,0.89,1.63,26.44,,3.41,0.39,0.09,0.23,2.92,66.47,170.42,527.73,767.54,767.15,150,5.114333333,22-03-1980,0.196154148,3910.9547760135943,3005,0.1961541475
0.06,38.55,22.34,30.44,382.47,327.33,1.76,1.0,2.02,26.67,,3.5,0.39,0.09,0.22,2.86,66.46,170.37,527.7,767.39,767.06,150,5.113733333,23-03-1980,0.196154148,3910.49595318906,3005,0.1961541475
0.0,39.01,23.07,31.04,374.87,349.56,2.3,-0.31,2.32,21.34,,3.43,0.43,0.0,0.21,2.76,66.44,170.33,527.67,767.2,766.77,150,5.1118,24-03-1980,0.196154148,3909.0175240877843,3005,0.1961541475
0.0,38.55,22.67,30.61,384.37,335.15,1.45,0.04,1.45,22.64,,3.6,0.39,0.07,0.19,2.7,66.42,170.28,527.63,767.03,766.64,150,5.110933333,25-03-1980,0.196154148,3908.354780007902,3005,0.1961541475
0.0,38.76,23.32,31.04,383.88,345.58,1.15,1.05,1.56,23.12,,3.32,0.34,0.11,0.21,2.69,66.4,170.23,527.6,766.92,766.58,150,5.110533333,26-03-1980,0.196154148,3908.0488981248795,3005,0.1961541475
0.04,38.25,23.34,30.8,389.9,324.43,-0.22,0.82,0.85,31.26,,3.36,0.34,0.07,0.22,2.73,66.38,170.17,527.56,766.84,766.54,150,5.110266667,27-03-1980,0.196154148,3907.844976869531,3005,0.1961541475
0.0,37.3,23.35,30.32,408.56,261.89,0.13,1.69,1.69,36.66,,3.46,0.36,0.41,0.2,2.89,66.35,170.11,527.53,766.88,766.52,150,5.110133333,28-03-1980,0.196154148,3907.7430162418564,3005,0.1961541475
0.1,37.27,24.07,30.67,403.46,303.33,2.14,1.76,2.77,31.1,,3.32,0.47,1.05,0.23,3.18,66.33,170.06,527.49,767.06,766.69,150,5.111266667,29-03-1980,0.196154148,3908.609681577088,3005,0.1961541475
0.31,37.55,24.02,30.78,381.1,326.68,2.66,-1.38,3.0,24.0,,3.42,0.53,0.08,0.23,3.08,66.31,170.01,527.46,766.86,766.64,150,5.110933333,30-03-1980,0.196154148,3908.354780007902,3005,0.1961541475
0.0,36.35,21.55,28.95,370.68,343.14,1.46,0.73,1.63,22.89,,3.54,0.42,0.01,0.24,2.96,66.29,169.96,527.41,766.62,766.2,150,5.108,31-03-1980,0.196154148,3906.1116461990696,3005,0.1961541475
0.0,37.67,22.09,29.88,389.24,344.67,1.37,0.96,1.67,30.49,,3.66,0.58,0.09,0.23,3.03,66.27,169.9,527.38,766.58,766.0,150,5.106666667,01-04-1980,0.196154148,3905.0920399223273,3005,0.1961541475
0.01,38.28,22.24,30.26,389.51,312.74,1.14,0.53,1.26,33.43,,3.55,0.57,0.28,0.24,3.26,66.25,169.84,527.34,766.69,766.13,150,5.107533333,02-04-1980,0.196154148,3905.7547840022094,3005,0.1961541475
0.11,37.85,22.33,30.09,386.66,321.58,1.18,1.93,2.26,33.05,,3.51,0.87,0.5,0.27,3.48,66.23,169.78,527.29,766.78,766.02,150,5.1068,03-04-1980,0.196154148,3905.1940005500014,3005,0.1961541475
0.0,37.36,22.17,29.76,382.1,340.04,1.13,1.1,1.58,25.14,,3.71,0.7,0.17,0.27,3.38,66.21,169.73,527.26,766.58,765.88,150,5.105866667,04-04-1980,0.196154148,3904.480276156282,3005,0.1961541475
0.43,38.6,23.37,30.98,386.46,355.19,0.37,1.52,1.56,26.28,,3.66,0.88,0.19,0.26,3.31,66.19,169.69,527.22,766.41,765.96,150,5.1064,05-04-1980,0.196154148,3904.888118666979,3005,0.1961541475
0.14,38.97,23.42,31.2,396.05,330.78,0.1,1.53,1.53,31.07,,3.61,2.0,0.78,0.25,3.45,66.17,169.64,527.19,766.45,764.59,150,5.097266667,06-04-1980,0.196154148,3897.9038156712954,3005,0.1961541475
1.34,37.16,21.51,29.34,394.75,347.48,-0.1,0.03,0.1,38.23,,3.73,1.59,0.53,0.27,3.65,66.15,169.58,527.16,766.54,766.29,150,5.1086,07-04-1980,0.196154148,3906.570469023603,3005,0.1961541475
0.0,37.72,22.38,30.05,398.78,350.86,0.66,0.46,0.8,29.11,,3.79,1.13,0.22,0.28,3.55,66.14,169.55,527.13,766.37,765.24,150,5.1016,08-04-1980,0.196154148,3901.217536070707,3005,0.1961541475
0.32,39.7,24.1,31.9,400.04,336.1,1.69,0.03,1.69,23.87,,3.81,0.81,0.14,0.25,3.39,66.13,169.52,527.11,766.15,765.66,150,5.1044,09-04-1980,0.196154148,3903.3587092518655,3005,0.1961541475
0.0,41.21,23.73,32.47,389.56,365.2,2.29,-0.19,2.3,23.01,,3.92,0.61,0.16,0.24,3.22,66.12,169.49,527.09,765.92,765.31,150,5.102066667,10-04-1980,0.196154148,3901.5743982675667,3005,0.1961541475
0.0,41.35,25.65,33.5,393.91,347.93,2.18,-0.49,2.23,25.21,,3.85,0.47,0.45,0.23,3.15,66.1,169.45,527.07,765.77,765.3,150,5.102,11-04-1980,0.196154148,3901.5234179537297,3005,0.1961541475
0.0,40.78,25.18,32.98,393.32,367.35,1.88,-0.85,2.06,19.51,,3.9,0.42,0.21,0.23,3.13,66.09,169.42,527.05,765.69,765.27,150,5.1018,12-04-1980,0.196154148,3901.3704770122185,3005,0.1961541475
0.0,40.7,24.86,32.78,388.56,371.24,2.11,-0.99,2.33,19.07,,3.97,0.41,0.04,0.21,2.98,66.08,169.39,527.02,765.47,765.06,150,5.1004,13-04-1980,0.196154148,3900.299890421639,3005,0.1961541475
0.62,41.07,24.27,32.67,392.61,342.53,0.56,0.01,0.56,23.97,,3.89,0.39,0.05,0.2,2.87,66.07,169.36,526.99,765.29,765.52,150,5.103466667,14-04-1980,0.196154148,3902.644984858146,3005,0.1961541475
0.21,40.8,25.5,33.15,406.59,316.5,0.69,0.89,1.13,32.42,,2.43,0.28,0.39,0.2,3.01,66.06,169.33,526.98,765.38,765.31,150,5.102066667,15-04-1980,0.196154148,3901.5743982675667,3005,0.1961541475
0.19,39.84,25.39,32.62,393.77,354.94,1.04,0.86,1.35,23.77,,2.42,0.26,0.12,0.22,3.05,66.05,169.29,526.96,765.35,765.28,150,5.101866667,16-04-1980,0.196154148,3901.4214573260556,3005,0.1961541475
0.0,37.8,23.05,30.42,386.58,373.49,1.1,-0.27,1.13,16.48,,3.86,0.4,0.03,0.21,2.94,66.03,169.26,526.93,765.16,764.76,150,5.0984,17-04-1980,0.196154148,3898.770481006526,3005,0.1961541475
0.0,40.69,23.85,32.27,387.31,366.86,0.55,1.39,1.49,17.3,,3.85,0.35,0.02,0.2,2.86,66.02,169.23,526.91,765.02,764.67,150,5.0978,18-04-1980,0.196154148,3898.311658181992,3005,0.1961541475
0.0,41.39,25.92,33.66,401.3,370.75,0.12,1.44,1.44,24.0,,3.78,0.32,0.09,0.19,2.83,66.01,169.2,526.89,764.93,764.61,150,5.0974,19-04-1980,0.196154148,3898.0057762989695,3005,0.1961541475
0.0,42.28,26.07,34.17,408.05,367.94,1.3,1.41,1.92,19.28,,3.94,0.32,0.13,0.18,2.78,66.0,169.17,526.87,764.82,764.5,150,5.096666667,20-04-1980,0.196154148,3897.444992846761,3005,0.1961541475
0.0,43.01,26.55,34.78,408.51,373.49,1.19,0.98,1.54,21.1,,3.93,0.36,0.11,0.18,2.74,65.99,169.15,526.85,764.73,764.37,150,5.0958,21-04-1980,0.196154148,3896.782248766879,3005,0.1961541475
0.0,43.18,28.49,35.84,417.35,368.79,1.79,0.16,1.8,23.51,,4.01,0.32,0.39,0.18,2.74,65.98,169.12,526.82,764.66,764.34,150,5.0956,22-04-1980,0.196154148,3896.6293078253675,3005,0.1961541475
